Species,ASTFOR,ASTRUB,STRDRO,HENSAN,CARMAE,LITLIT,LITOBT,LITSAX,NUCLAP,TECTES,MUSSPP,BARSPP,ALGGRE,ALGRED,ALGBRO
ASTFOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTRUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HENSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARMAE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STRDRO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LITLIT,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LITOBT,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LITSAX,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NUCLAP,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TECTES,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MUSSPP,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
BARSPP,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
ALGGRE,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
ALGRED,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
ALGBRO,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
